OBJECTID,JURSCODE,GEOID20,POPULATION_TOTAL,CHILD_POPULATION_TOTAL,CHILD_POV_TOTAL,CHILD_POV_PCT,SCHOOL_BND_INT_TOTAL,SCHOOL_BND_INT_CPG_TOTAL,NOTES,CALC_SUM,CALC_PCT,Shape__Area,Shape__Length
1,ALLE,24001001100,1327,210,4.0,1.9,7.0,1.0,(+/-) 3.2,,,815532.840797235,5798.640642458853
2,ALLE,24001000200,4052,499,138.0,27.7,6.0,,(+/-) 24.9,,,127595267.27809443,78063.27651048519
3,ALLE,24001000100,3474,601,106.0,17.7,3.0,,(+/-) 15.5,,,494615343.09854674,138840.44416140325
4,ALLE,24001001502,2116,393,86.0,21.9,9.0,,(+/-) 17.2,,,23792233.680730537,25735.376085454893
5,ALLE,24001001200,2924,406,65.0,16.0,7.0,,(+/-) 16.7,,,7167778.15252918,17356.490486484727
6,ALLE,24001001600,1351,202,28.0,13.9,5.0,,(+/-) 13.7,,,19377224.85273332,24442.420027973214
7,ALLE,24001002100,2814,525,122.0,23.2,9.0,,(+/-) 13,,,62692679.26197871,38692.00812964408
8,ALLE,24001002000,5177,1003,46.0,4.6,12.0,,(+/-) 6.8,,,70718446.41044784,53287.06339679387
9,ALLE,24001000800,1932,418,152.0,36.4,7.0,1.0,(+/-) 17.1,,,3680156.636448665,12479.088340641127
10,ALLE,24001001401,4027,821,58.0,7.1,9.0,,(+/-) 12.8,,,38008871.66178392,38505.23782205739
11,ALLE,24001001700,3722,712,73.0,10.3,8.0,,(+/-) 10.7,,,32812068.06154098,30587.741622389327
12,ALLE,24001001900,2737,710,49.0,6.9,12.0,,(+/-) 5.2,,,62702689.09382794,41791.72587087003
13,ALLE,24001001000,1928,389,103.0,26.5,10.0,1.0,(+/-) 23.4,,,1181679.00458628,6029.249078791019
14,ALLE,24001001300,5061,355,84.0,23.7,5.0,,(+/-) 20.4,,,10289935.927025205,17397.24776020358
15,ALLE,24001000700,3233,842,377.0,44.8,4.0,1.0,(+/-) 18.4,,,1845100.63602774,6226.337611978544
16,ALLE,24001002300,5662,994,8.0,0.8,12.0,,(+/-) 1.4,,,32087724.40309439,29138.907885553235
